year,sex,age,suicides_no
2005,0,15,0.0
2006,1,15,0.0
2006,0,15,0.0
2007,1,15,0.0
2007,0,15,0.0
2008,1,15,0.0
2008,0,15,0.0
2009,1,15,0.0
2009,0,15,0.0
2010,1,15,0.0
2010,0,15,0.0
2011,1,15,0.0
2011,0,15,0.0
2012,1,15,0.0
2012,0,15,0.0
2013,1,15,0.0
2013,0,15,0.0
1981,1,15,34.0
1981,0,15,171.0
1982,1,15,27.0
1982,0,15,198.0
1983,1,15,142.0
1983,0,15,142.0
1985,1,15,26.0
1985,0,15,155.0
1986,1,15,18.0
1986,0,15,140.0
1987,1,15,35.0
1987,0,15,126.0
1988,1,15,30.0
1988,0,15,112.0
1989,1,15,34.0
1989,0,15,100.0
1990,1,15,24.0
1990,0,15,132.0
1991,1,15,30.0
1991,0,15,143.0
1992,1,15,31.0
1992,0,15,166.0
1993,1,15,37.0
1993,0,15,175.0
1994,1,15,36.0
1994,0,15,208.0
1995,1,15,33.0
1995,0,15,210.0
1996,1,15,43.0
1996,0,15,224.0
1997,1,15,50.0
1997,0,15,247.0
1998,1,15,39.0
1998,0,15,287.0
1999,1,15,48.0
1999,0,15,288.0
2000,1,15,36.0
2000,0,15,306.0
2001,1,15,36.0
2001,0,15,313.0
2002,1,15,32.0
2002,0,15,296.0
2003,1,15,46.0
2003,0,15,285.0
2004,1,15,142.0
2004,0,15,142.0
2005,1,15,142.0
2005,0,15,142.0
2006,1,15,142.0
2006,0,15,142.0
2007,1,15,37.0
2007,0,15,261.0
2008,1,15,29.0
2008,0,15,234.0
2009,1,15,45.0
2009,0,15,270.0
2010,1,15,39.0
2010,0,15,240.0
2011,1,15,36.0
2011,0,15,185.0
2012,1,15,142.0
2012,0,15,142.0
2013,1,15,25.0
2013,0,15,145.0
2014,1,15,15.0
2014,0,15,128.0
2015,1,15,142.0
2015,0,15,142.0
1979,1,15,38.0
1979,0,15,108.0
1980,1,15,42.0
1980,0,15,116.0
1981,1,15,40.0
1981,0,15,129.0
1982,1,15,44.0
1982,0,15,142.0
1983,1,15,37.0
1983,0,15,115.0
1984,1,15,26.0
1984,0,15,139.0
1985,1,15,33.0
1985,0,15,109.0
1986,1,15,40.0
1986,0,15,118.0
1987,1,15,35.0
1987,0,15,121.0
1988,1,15,28.0
1988,0,15,113.0
